Type,Force,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,staffordshire,Custodian style Police Helmet,28.9,80,18/12/14,
Equipment,staffordshire,Fleece,38.95,65,14/05/15,
Equipment,staffordshire,Trousers,8.95,560,15/07/15,
Equipment,staffordshire,Shirt,4.25,1400,20/03/15,
Equipment,staffordshire,Epaulettes,1.6,300,02/07/15,
Equipment,staffordshire,Belt,3.91,160,30/04/15,
Equipment,staffordshire,Anorak/ waterproof jacket,71.95,62,14/05/15,
Equipment,staffordshire,Hi Visibility jacket,71.95,,,
Equipment,staffordshire,Cut resistant gloves,15.99,100,30/04/15,
Equipment,staffordshire,Boots,,,,Not bought. The force only issues boots to officers for specialist roles.
Equipment,staffordshire,Utility belt,5.55,100,17/12/14,
Equipment,staffordshire,General Patrol full body armour,228,16,08/07/15,"Female armours, purchased with male armours at å£276.00."
Equipment,staffordshire,General Patrol body armour vest,45,1,08/07/15,
Equipment,staffordshire,Standard Issue Handcuffs,16.95,50,04/12/14,
Equipment,staffordshire,Baton,82.91,,,Not bought for over five years. The force recycles departed officers' batons for re-use.
Equipment,staffordshire,Airwave radio (hand held),,,,No record of purchase for years - any previous purchased would have been made in accordance with the national airwave framework.
Equipment,staffordshire,Airwave radio (vehicle),585,20,21/06/15,
Equipment,staffordshire,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,Not bought.
Equipment,staffordshire,Compact High performance estate vehicle - fully converted,17349.62,1,26/02/15,"Vauxhall Astra, converted inc. commissioning parts and labour, first registration fee."
Equipment,staffordshire,Fully kitted cell van,25148.26,1,16/07/15,"Vauxhall Vivaro, converted inc. commissioning parts and labour, first registration fee."
Equipment,west-mercia,Custodian style Police Helmet,28.9,730,23/04/15,Joint purchase with Warwickshire under West Midlands Police national headwear contract.
Equipment,west-mercia,Fleece,38.95,460,11/05/15,Joint purchase with Warwickshire. The force aims to move to the Metropolitan Police Service contract when samples are approved to purchase the garment at a lower price.
Equipment,west-mercia,Trousers,9.2,30,25/08/15,"Polycotton trousers. Order date for joint purchase with Warwickshire. Prices range from å£6.60 to å£9.20 depending on male, female, size (waist/length) specifications. The price quoted is for the largest quantity on order and for a particular waist/leg measurement for the male garment. The force previously purchased 2,265 male polywool trousers at å£18.20 with Warwickshire, on 16/04/2015. Awaiting outcome of Yorkshire tender for future purchasing."
Equipment,west-mercia,Shirt,3.99,650,16/04/15,Under-armour shirts. Joint purchase with Warwickshire. The force will be moving to the West Yorkshire Police contract to purchase the item at a lower price.
Equipment,west-mercia,Epaulettes,3.25,112,21/07/15,Epaulettes. Joint purchase with Warwickshire. The force will be moving to the Metropolitan Police Service contract when samples are approved to purchase epaulettes at a lower price.
Equipment,west-mercia,Belt,3.3,50,23/07/15,Joint purchase with Warwickshire. The force will be moving to the North Wales Police contract to purchase the item at a lower price.
Equipment,west-mercia,Anorak/ waterproof jacket,95.45,2500,16/12/14,3/4 length high visibility coat. Joint purchase with Warwickshire. The force will be moving to the Metropolitan Police Service contract when samples are approved to purchase the item at a lower price.
