Equipment,./bedfordshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./bedfordshire.csv,Custodian style Police Helmet,28.90,30,2013-05-14,Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police. Exc. £6.50 helmet plate.
Equipment,./bedfordshire.csv,Fleece,32.95,38,2015-07-22,Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./bedfordshire.csv,Trousers,9.67,270,2015-07-28,Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./bedfordshire.csv,Shirt,4.25,2300,2015-07-23,"Male shirts, female shirts £3.95. Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police."
Equipment,./bedfordshire.csv,Epaulettes,3.85,1,2015-07-24,All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./bedfordshire.csv,Belt,3.27,410,2015-07-22,Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./bedfordshire.csv,Anorak/ waterproof jacket,79.95,5,2015-07-22,Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./bedfordshire.csv,Hi Visibility jacket,53.90,125,2015-07-03,Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./bedfordshire.csv,Cut resistant gloves,9.70,650,2015-04-22,"Male gloves, female gloves £9.40. Joint purchase with Cambridgeshire and Hertfordshire. The force no longer issues officers with the gloves. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police. "
Equipment,./bedfordshire.csv,Boots,30.30,100,2015-07-22,Order date for non-protective boots from North Wales framework - joint purchase with Cambridgeshire and Hertfordshire. Most recent purchase price for a pair of protective boots for patrol (public order) is £72.60. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./bedfordshire.csv,Utility belt,10.25,100,2015-07-28,Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./bedfordshire.csv,General Patrol full body armour,261.27,10,2015-04-24,"Male armours, female armours £218.24. Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police."
Equipment,./bedfordshire.csv,General Patrol body armour vest,84.93,60,2015-07-15,Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./bedfordshire.csv,Standard Issue Handcuffs,16.95,200,2015-01-19,Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./bedfordshire.csv,Baton,54.45,200,2015-06-16,22'' batons. Joint purchase with Cambridgeshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./bedfordshire.csv,Airwave radio (hand held),350.00,250,2015-03-04,Inc. extended warranty. Purchased via national airwave radio procurement framework contract.
Equipment,./bedfordshire.csv,Airwave radio (vehicle),1200.00,283,,"Price subject to specifications. Exc. installation. Force purchase through a consortium framework with Cambridgeshire, Hertfordshire and Thames Valley Police in 2003. Prices have reduced significantly over the years. "
Equipment,./bedfordshire.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,13473.00,4,2015-03-11,"Inc. warning lights, livery, siren, delivery etc."
Equipment,./bedfordshire.csv,Compact High performance estate vehicle - fully converted,,,,"Not bought. Standard large high performance estate £26,540 on 15/01/14. Inc. warning lights, livery, siren, delivery etc."
Equipment,./bedfordshire.csv,Fully kitted cell van,20805.00,6,2014-11-06,"Inc. warning lights, livery, siren, delivery etc."
