Equipment,./cambridgeshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./cambridgeshire.csv,Custodian style Police Helmet,28.90,30,2013-05-14,Joint purchase with Bedfordshire and Hertfordshire Exc. £5.25 helmet plate. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,Fleece,32.95,38,2015-07-22,PCSO fleece. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,Trousers,9.67,270,2015-07-28,Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,Shirt,4.25,2300,2015-07-23,"Male shirts, female shirts £3.95. Price varies with long sleeve, short sleeve and extra long fit specifications. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces."
Equipment,./cambridgeshire.csv,Epaulettes,2.96,4,2015-07-24,The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,Belt,3.27,410,2015-07-22,Split leather waist belts with nickel buckles. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,Anorak/ waterproof jacket,79.95,5,2015-07-22,Police traffic jacket model purchased under the Metropolitan Police Service contract. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,Hi Visibility jacket,53.90,125,2015-07-03,High visibility carriers lightweight blousons. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,Cut resistant gloves,9.70,650,2015-04-22,"Male black lined leather gloves with cuffs, female gloves at £9.40. Joint purchase with Bedfordshire and Hertfordshire. The force no longer issues officers with the gloves. The force makes all uniform purchases and operates central stores for all three forces."
Equipment,./cambridgeshire.csv,Boots,30.30,100,2015-07-22,Order date for non-protective boots from North Wales framework - joint purchase with Bedfordshire and Hertfordshire. Most recent purchase price for a pair of protective boots for patrol (public order) is £72.60. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,Utility belt,10.25,100,2015-07-28,Not supplied as standard. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,General Patrol full body armour,261.27,10,2015-04-24,"Male armours, female armours £218.24. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces."
Equipment,./cambridgeshire.csv,General Patrol body armour vest,84.93,60,2015-07-15,Price depends on quantity ordered. Joint purchase with Bedfordshire and Hertfordshire. Appointment vest under review. Covert harness £67. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,Standard Issue Handcuffs,16.95,200,2015-01-19,Rigid handcuffs. Joint purchase with Bedfordshire and Hertfordshire under the Metropolitan Police Service contract. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,Baton,54.45,200,2015-06-16,22'' autolock batons with power safety tip and caps attached as per the Metropolitan Police Service framework. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,./cambridgeshire.csv,Airwave radio (hand held),250.00,3,2015-03-12,
Equipment,./cambridgeshire.csv,Airwave radio (vehicle),920.00,90,2008-02-07,Unit price of each terminal.
Equipment,./cambridgeshire.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,13296.20,6,2014-12-30,"Hyundai New Generation. Inc. warning lights, livery, siren etc."
Equipment,./cambridgeshire.csv,Compact High performance estate vehicle - fully converted,,,,"Not bought. Standard large high performance estate BMW vehicle £31,391.60 in June 2014. Inc. warning lights, livery, siren, delivery etc."
Equipment,./cambridgeshire.csv,Fully kitted cell van,21039.51,1,2015-06-16,Vauxhall Vivaro purchased via Kent and Essex Police cell van framework.
