Equipment,./cleveland.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./cleveland.csv,Custodian style Police Helmet,28.90,30,2015-07-02,Purchased via West Midlands framework.
Equipment,./cleveland.csv,Fleece,20.39,20,2015-05-15,Purchased via West Yorkshire framework.
Equipment,./cleveland.csv,Trousers,13.55,300,2015-06-11,Purchased via Devon & Cornwall framework.
Equipment,./cleveland.csv,Shirt,4.50,24,2015-07-02,"Short-sleeved male shirt, long-sleeved male shirt £5.25, female short-sleeved shirt £5.25 and female long-sleeved shirt £5.85 purchased via West Yorkshire framework."
Equipment,./cleveland.csv,Epaulettes,,,,"Not bought, but made in-house."
Equipment,./cleveland.csv,Belt,3.27,95,2015-02-19,Leather belt purchased via North Wales framework.
Equipment,./cleveland.csv,Anorak/ waterproof jacket,,,,"Not bought as standard, but issued to road policing unit officers only. 1 purchased via West Yorkshire framework at £85.75 on 06/11/14."
Equipment,./cleveland.csv,Hi Visibility jacket,62.75,20,2015-05-15,Purchased via West Yorkshire framework.
Equipment,./cleveland.csv,Cut resistant gloves,15.45,27,2015-05-08,Purchased via Cheshire framework.
Equipment,./cleveland.csv,Boots,,,,Not bought. The force does not issue officers with general duty boots.
Equipment,./cleveland.csv,Utility belt,8.36,30,2015-03-13,Purchased via North Wales framework.
Equipment,./cleveland.csv,General Patrol full body armour,382.90,1,2015-06-08,This includes armour panels plus 2 high visibility covers. Purchased via MPS framework.
Equipment,./cleveland.csv,General Patrol body armour vest,78.68,1,2015-07-27,High visibility cover purchased for existing body armour.
Equipment,./cleveland.csv,Standard Issue Handcuffs,19.25,40,2015-05-15,Purchased via Northumbria framework.
Equipment,./cleveland.csv,Baton,60.50,20,2015-06-29,26'' batons.
Equipment,./cleveland.csv,Airwave radio (hand held),400.00,500,,Mixture of hand-held and vehicle units ordered in 2009 for delivery over three years.
Equipment,./cleveland.csv,Airwave radio (vehicle),500.00,500,,Mixture of vehicle and hand-held units ordered in 2009 for delivery over three years.
Equipment,./cleveland.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,13854.00,1,,Vauxhall Astra. Last ordered in late March 2015. The force is moving to the new national vehicle purchase framework.
Equipment,./cleveland.csv,Compact High performance estate vehicle - fully converted,33920.61,3,2014-10-01,"BMW inc. partial conversion costs for livery, matrix board and data recorder."
Equipment,./cleveland.csv,Fully kitted cell van,21324.18,10,2014-08-01,Vauxhall Vivaro.
