Equipment,./derbyshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./derbyshire.csv,Custodian style Police Helmet,36.59,20,2015-02-20,"Sewn cover, plastic trim."
Equipment,./derbyshire.csv,Fleece,21.10,75,2015-07-02,
Equipment,./derbyshire.csv,Trousers,14.00,3600,2014-12-10,Bulk order of new style trousers.
Equipment,./derbyshire.csv,Shirt,3.99,50,2015-02-27,
Equipment,./derbyshire.csv,Epaulettes,5.10,121,2015-05-07,"Sliders, black epaulettes £1.83 on 16/02/2015."
Equipment,./derbyshire.csv,Belt,2.42,50,2015-04-23,
Equipment,./derbyshire.csv,Anorak/ waterproof jacket,69.95,100,2014-09-30,
Equipment,./derbyshire.csv,Hi Visibility jacket,105.00,30,2015-03-25,For volumes over 50 the unit price is £89.95.
Equipment,./derbyshire.csv,Cut resistant gloves,,,,Not bought.
Equipment,./derbyshire.csv,Boots,,,,Not bought.
Equipment,./derbyshire.csv,Utility belt,7.65,30,2015-02-16,
Equipment,./derbyshire.csv,General Patrol full body armour,266.88,5,2015-04-17,"Male armours, female armours £218.52. The force recycles body armours for re-use."
Equipment,./derbyshire.csv,General Patrol body armour vest,,,,Not bought.
Equipment,./derbyshire.csv,Standard Issue Handcuffs,16.95,24,2015-02-25,The force recycles handcuffs for re-use.
Equipment,./derbyshire.csv,Baton,48.00,25,2011-04-01,The force recycles batons for re-use.
Equipment,./derbyshire.csv,Airwave radio (hand held),439.00,1,2014-09-26,Inc. battery and antenna.
Equipment,./derbyshire.csv,Airwave radio (vehicle),1040.00,1,2015-06-15,Inc. radio and car kit
Equipment,./derbyshire.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,Information is not available at this time.
Equipment,./derbyshire.csv,Compact High performance estate vehicle - fully converted,,,,Information is not available at this time.
Equipment,./derbyshire.csv,Fully kitted cell van,,,,Information is not available at this time.
