Equipment,./devon-and-cornwall.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./devon-and-cornwall.csv,Custodian style Police Helmet,28.90,76,2015-03-30,"Exc. helmet plate (crest), purchased via the West Yorkshire national framework, £33.50 if inc. crest. Regional specification."
Equipment,./devon-and-cornwall.csv,Fleece,21.10,50,2015-06-16,Regional specification.
Equipment,./devon-and-cornwall.csv,Trousers,13.57,390,2015-06-17,"Regional specification male trousers, female trousers £14.88 on 05/06/15."
Equipment,./devon-and-cornwall.csv,Shirt,4.05,2016,2015-07-07,"Male short-sleeved wicking shirts, female short-sleeved shirts £3.75 on 07/07/2015. Male long-sleeved shirts £4.60 and female long-sleeved shirts £4.31 on 07/07/2015. Regional specification."
Equipment,./devon-and-cornwall.csv,Epaulettes,3.25,36,2015-06-19,Regional specification. Sliders £2.95 on 19/06/2015.
Equipment,./devon-and-cornwall.csv,Belt,3.27,95,2015-04-21,Leather belts.
Equipment,./devon-and-cornwall.csv,Anorak/ waterproof jacket,87.00,85,2015-04-13,Regional specification.
Equipment,./devon-and-cornwall.csv,Hi Visibility jacket,95.00,90,2015-05-28,Regional specification. The force most commonly issues high visibility jackets at £10.95 on 12/05/2015.
Equipment,./devon-and-cornwall.csv,Cut resistant gloves,12.95,130,2015-05-26,Regional specification.
Equipment,./devon-and-cornwall.csv,Boots,,,,Not bought. The force does not issue boots to patrol officers.
Equipment,./devon-and-cornwall.csv,Utility belt,4.22,30,2015-02-13,Leather belts.
Equipment,./devon-and-cornwall.csv,General Patrol full body armour,257.90,15,2015-07-14,"Male armours, female armours £224.03. Regional specification."
Equipment,./devon-and-cornwall.csv,General Patrol body armour vest,44.00,65,2015-06-15,Regional specification.
Equipment,./devon-and-cornwall.csv,Standard Issue Handcuffs,16.95,150,2015-07-17,Regional specification.
Equipment,./devon-and-cornwall.csv,Baton,30.00,300,2015-05-22,Regional specification.
Equipment,./devon-and-cornwall.csv,Airwave radio (hand held),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,./devon-and-cornwall.csv,Airwave radio (vehicle),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,./devon-and-cornwall.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,15489.21,4,2014-12-01,"Inc. commissioning, delivery and registration."
Equipment,./devon-and-cornwall.csv,Compact High performance estate vehicle - fully converted,29191.00,1,2013-10-01,Volvo inc. conversion costs.
Equipment,./devon-and-cornwall.csv,Fully kitted cell van,26496.36,6,2014-07-01,Ford transit inc. CCTV option.
