Equipment,./dyfed-powys.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./dyfed-powys.csv,Custodian style Police Helmet,28.90,35,2015-07-20,
Equipment,./dyfed-powys.csv,Fleece,21.10,160,2015-03-20,
Equipment,./dyfed-powys.csv,Trousers,12.59,160,2015-06-12,"Male trousers purchased with 110 female trousers at £13.55. Polycotton hybrid trousers, the force does not issue cargo trousers."
Equipment,./dyfed-powys.csv,Shirt,4.15,450,2015-07-20,Stock supported price of shirt. Unsupported price is £4.05 per shirt. The West Yorkshire framework provides the option for stock supported delivery to 5 days or unsupported stock with significantly longer leadtimes.
Equipment,./dyfed-powys.csv,Epaulettes,1.80,200,2014-12-16,Price per pair.
Equipment,./dyfed-powys.csv,Belt,3.18,75,2014-07-20,
Equipment,./dyfed-powys.csv,Anorak/ waterproof jacket,79.95,110,2014-11-10,The force issues high visibility blousons to beat officers instead of anoraks. Inc. additional zips.
Equipment,./dyfed-powys.csv,Hi Visibility jacket,14.40,100,2014-10-21,Lightweight high visibility jacket.
Equipment,./dyfed-powys.csv,Cut resistant gloves,13.25,100,2015-06-18,
Equipment,./dyfed-powys.csv,Boots,,,,"Not bought. The force does not issue boots to beat officers, but to specialist roles."
Equipment,./dyfed-powys.csv,Utility belt,3.25,200,2014-05-07,
Equipment,./dyfed-powys.csv,General Patrol full body armour,223.59,2,2015-06-30,"Male armours, female armours £190.24."
Equipment,./dyfed-powys.csv,General Patrol body armour vest,34.31,8,2015-08-21,"Date of order of black of male armour cover vests. Female vests at £33.79. The intention for Dyfed Powys, Gwent and South Wales is to standardise to black or high visibility vests subject to review of whether high visibility garments should only be worn when operational need dictates."
Equipment,./dyfed-powys.csv,Standard Issue Handcuffs,16.95,100,2014-10-01,Hinged handcuffs. Joint purchase with Gwent and South Wales.
Equipment,./dyfed-powys.csv,Baton,38.00,50,2015-03-20,
Equipment,./dyfed-powys.csv,Airwave radio (hand held),400.00,1,2015-06-29,
Equipment,./dyfed-powys.csv,Airwave radio (vehicle),185.00,4,2015-05-07,Price for radio and headset.
Equipment,./dyfed-powys.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,12969.75,17,2014-05-20,Ford Focus estate.
Equipment,./dyfed-powys.csv,Compact High performance estate vehicle - fully converted,28092.81,3,2014-05-16,BMW.
Equipment,./dyfed-powys.csv,Fully kitted cell van,20733.13,5,2014-05-30,Ford Transit.
