Equipment,./essex.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./essex.csv,Custodian style Police Helmet,28.90,40,2015-06-09,The force recycles helmets to keep costs down.
Equipment,./essex.csv,Fleece,20.39,80,2015-07-03,Exc. badges.
Equipment,./essex.csv,Trousers,13.60,2,2015-07-24,
Equipment,./essex.csv,Shirt,3.99,5,2015-07-07,Plain shirts. Logos and numbers etc are stitched in-house.
Equipment,./essex.csv,Epaulettes,1.25,400,2015-03-25,Plain epaulettes. Logos and numbers etc are stitched in-house.
Equipment,./essex.csv,Belt,3.27,20,2015-07-24,
Equipment,./essex.csv,Anorak/ waterproof jacket,89.00,30,2015-07-02,The force has an outsourced store to manage stock levels.
Equipment,./essex.csv,Hi Visibility jacket,87.75,40,2015-06-09,The force has an outsourced store to manage stock levels.
Equipment,./essex.csv,Cut resistant gloves,34.50,2,2013-11-28,The force issues cut resistant gloves which are also spike resistant.
Equipment,./essex.csv,Boots,,,,Not bought
Equipment,./essex.csv,Utility belt,,,,Not bought
Equipment,./essex.csv,General Patrol full body armour,206.85,12,2015-07-01,"Female body armours, male body armours £248.22. The force recycles body armours to keep costs down. Price given does not reflect the kit that is recycled even though this accounts for a significant amount of body armour."
Equipment,./essex.csv,General Patrol body armour vest,36.34,12,2015-07-01,"Female armour covers, male armour covers £36.90. The force recycles body armours to keep costs down. Price given does not reflect the kit that is recycled even though this accounts for a significant amount of body armour."
Equipment,./essex.csv,Standard Issue Handcuffs,16.95,150,2015-06-30,The force recycles handcuffs wherever possible.
Equipment,./essex.csv,Baton,25.00,100,2015-07-03,The force has a contract for the refurbishment of batons at this price. No information available on the last new purchase.
Equipment,./essex.csv,Airwave radio (hand held),380.00,400,2015-03-19,"All handsets are recycled. The force does not plan to purchase more radios until 2018, except in case of shortage of handsets for a limited time."
Equipment,./essex.csv,Airwave radio (vehicle),207.00,650,2007-12-13,
Equipment,./essex.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,8998.36,4,2011-10-01,"Inc. service with legacy equipment as the norm for these vehicles (for re-use on new vehicles). It is important to note that the initial purchase of vehicles represents less than a third of the whole-life cost. Low cost vehicles may reflect higher ownership costs. Fleet managers work together to standardise requirements, benchmark costs and best practice to procure collaboratively where possible. Different operational policing practices or even the type of area being policed (urban/rural) may result in different costs. The type of vehicle must meet operational needs of officer roles to provide for their safe and efficient deployment."
Equipment,./essex.csv,Compact High performance estate vehicle - fully converted,25239.90,1,2014-03-13,Inc. service with legacy equipment as the norm for internally built vehicles (for re-use on new vehicles). Purchased in collaboration with Kent.
Equipment,./essex.csv,Fully kitted cell van,19555.70,3,2013-12-18,Most recent purchase from the previous national framework agreement. 
