Equipment,./gloucestershire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./gloucestershire.csv,Custodian style Police Helmet,28.90,80,2015-06-01,National specification.
Equipment,./gloucestershire.csv,Fleece,21.10,20,2015-04-10,National specification.
Equipment,./gloucestershire.csv,Trousers,13.57,40,2015-07-02,Male trousers.
Equipment,./gloucestershire.csv,Shirt,4.05,310,2015-05-21,Male short-sleeved black wicking shirts.
Equipment,./gloucestershire.csv,Epaulettes,3.67,238,2015-07-23,Male black sliders.
Equipment,./gloucestershire.csv,Belt,3.27,80,2015-04-21,Leather belts.
Equipment,./gloucestershire.csv,Anorak/ waterproof jacket,98.50,41,2015-04-21,
Equipment,./gloucestershire.csv,Hi Visibility jacket,78.45,20,2015-04-17,
Equipment,./gloucestershire.csv,Cut resistant gloves,13.25,90,2015-03-19,
Equipment,./gloucestershire.csv,Boots,,,,Not bought. The force does not issue boots to response officers.
Equipment,./gloucestershire.csv,Utility belt,4.25,30,2014-01-08,"The force usually issues vests as default, instead of equipment belts."
Equipment,./gloucestershire.csv,General Patrol full body armour,257.90,4,2015-05-11,Male armours.
Equipment,./gloucestershire.csv,General Patrol body armour vest,79.44,70,2015-06-01,
Equipment,./gloucestershire.csv,Standard Issue Handcuffs,16.95,50,2014-12-24,
Equipment,./gloucestershire.csv,Baton,36.50,60,2008-12-11,There is a low order rate because the force issues batons for re-use.
Equipment,./gloucestershire.csv,Airwave radio (hand held),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,./gloucestershire.csv,Airwave radio (vehicle),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,./gloucestershire.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,14300.66,4,2014-06-01,"Inc. commissioning, delivery and registration."
Equipment,./gloucestershire.csv,Compact High performance estate vehicle - fully converted,30524.83,2,2014-03-03,BMW vehicle inc. commissioning.
Equipment,./gloucestershire.csv,Fully kitted cell van,29644.00,6,2013-09-01,"Mercedes-Benz Vito van. The force plans to purchase Ford Transit next, in line with the region."
