Equipment,./gwent.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./gwent.csv,Custodian style Police Helmet,28.90,40,2014-07-01,
Equipment,./gwent.csv,Fleece,21.10,116,2015-06-10,
Equipment,./gwent.csv,Trousers,14.10,400,2015-06-09,"Female trousers, male trousers £14.62."
Equipment,./gwent.csv,Shirt,4.05,2500,2013-08-14,"Male and female short-sleeved shirts, male and female long-sleeved shirts £4.70."
Equipment,./gwent.csv,Epaulettes,2.10,500,2015-01-16,Price per pair.
Equipment,./gwent.csv,Belt,3.27,160,2014-08-29,
Equipment,./gwent.csv,Anorak/ waterproof jacket,94.20,122,2015-03-05,High visibility jacket with additional zips. This garment is under review.
Equipment,./gwent.csv,Hi Visibility jacket,,,,Not bought. The force issues high visibility body armour covers inc. appointment pockets and click fast points. This garment is not needed.
Equipment,./gwent.csv,Cut resistant gloves,,,,Not bought. The force does not issue cut resistant gloves.
Equipment,./gwent.csv,Boots,,,,"Not bought. The force no longer issues standard officer boots, only for specialist roles."
Equipment,./gwent.csv,Utility belt,5.08,120,2014-04-24,
Equipment,./gwent.csv,General Patrol full body armour,190.24,15,2015-04-23,"Female armours, male armours £223.59."
Equipment,./gwent.csv,General Patrol body armour vest,69.50,47,2015-07-23,High visibility body armour covers inc. appointment pockets and click fast points. No high visibility jacket needed to purchase.
Equipment,./gwent.csv,Standard Issue Handcuffs,18.35,200,2015-02-27,Joint purchase with Dyfed-Powys and South Wales under national contract. Price based on 100-249 order volumes.
Equipment,./gwent.csv,Baton,,,,Not purchased since 2011. Records not accessible. The force operates a baton recycling policy and stocks of new and recycled batons.
Equipment,./gwent.csv,Airwave radio (hand held),290.00,2100,2014-03-06,"Exc. antenna, battery. Inc. colour display."
Equipment,./gwent.csv,Airwave radio (vehicle),,,,Not purchased since 2004. Records not accessible.
Equipment,./gwent.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,11274.00,,2013-09-03,Not bought. Price for Ford Focus Estate vehicle inc. conversion and livery.
Equipment,./gwent.csv,Compact High performance estate vehicle - fully converted,31024.00,1,2014-04-30,BMW vehicle. Inc. conversion and livery.
Equipment,./gwent.csv,Fully kitted cell van,22806.00,,2014-01-26,Not bought. Price for Ford Transit van inc. conversion and livery.
