Equipment,./humberside.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./humberside.csv,Custodian style Police Helmet,43.20,127,2015-01-30,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Fleece,20.39,214,2015-01-30,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Trousers,7.83,4932,2013-08-09,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Shirt,4.05,450,2015-05-29,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Epaulettes,2.80,90,2015-07-10,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Belt,3.80,230,2015-07-10,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Anorak/ waterproof jacket,85.75,22,2015-01-30,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Hi Visibility jacket,62.75,88,2015-01-30,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Cut resistant gloves,12.95,155,2015-07-10,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Boots,,,,Not bought.
Equipment,./humberside.csv,Utility belt,4.50,160,2015-07-10,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,General Patrol full body armour,254.10,18,2015-04-22,Same price for male and female armours. Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,General Patrol body armour vest,60.20,845,2015-07-10,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Standard Issue Handcuffs,16.95,100,2015-06-26,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Baton,23.49,200,2015-03-05,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./humberside.csv,Airwave radio (hand held),350.00,300,2015-03-31," Joint purchase with South Yorkshire Police. Total cost per set £391 inc. battery, antenna and case."
Equipment,./humberside.csv,Airwave radio (vehicle),,,,Not purchased for over three years. Information is not available at this time.
Equipment,./humberside.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,14975.11,2,2014-12-05,Vauxhall Astra. The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015.
Equipment,./humberside.csv,Compact High performance estate vehicle - fully converted,,,,"Not bought. The force purchased three large standard high performance vehicles £31,104.26 on 14/08/14 with conversion carried out by West Yorkshire Police. The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015."
Equipment,./humberside.csv,Fully kitted cell van,19556.35,2,2014-11-13,Conversion carried out by West Yorkshire Police. The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015.
