Equipment,./lancashire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./lancashire.csv,Custodian style Police Helmet,32.12,24,2015-06-05,Purchased via West Midlands national contract. Price inc. helmet plate.
Equipment,./lancashire.csv,Fleece,39.09,195,2015-02-19,Male fleece purchased via Greater Manchester Police regional/national contract for modern/traditional uniforms.
Equipment,./lancashire.csv,Trousers,8.95,1270,2015-02-17,Operational (cargo) trousers purchased via Greater Manchester Police regional/national contract for modern/traditional uniforms.
Equipment,./lancashire.csv,Shirt,4.25,1200,2015-02-10,Male black mandarin collar short-sleeved shirts purchased via West Yorkshire national contract for all climate shirts.
Equipment,./lancashire.csv,Epaulettes,1.85,300,2015-06-28,Male epaulettes purchased locally.
Equipment,./lancashire.csv,Belt,3.41,210,2015-06-01,Standard leather belt for trousers purchased locally.
Equipment,./lancashire.csv,Anorak/ waterproof jacket,47.97,120,2015-07-03,Black heavyweight jacket purchased via the regional high visibility/black anorak contract.
Equipment,./lancashire.csv,Hi Visibility jacket,67.71,35,2015-07-03,High visibility heavyweight jacket purchased via the regional high visibility/black anorak contract.
Equipment,./lancashire.csv,Cut resistant gloves,12.95,120,2015-05-11,Purchased via Cheshire national contract.
Equipment,./lancashire.csv,Boots,72.60,165,2015-04-08,"Dual purpose boots for use as public order boots which also meet violent situation standards and are flameproof, purchased via the North Wales national footwear contract. "
Equipment,./lancashire.csv,Utility belt,10.60,100,2015-05-12,Leather style belt purchased via the North Wales framework contract for leather goods.
Equipment,./lancashire.csv,General Patrol full body armour,281.85,100,2015-06-15,Overt style male armours purchased via the Metropolitan Police Service regional/national contract. Prices can vary subject to order volumes.
Equipment,./lancashire.csv,General Patrol body armour vest,67.00,300,2015-07-24,Black male overt style armour cover purchased via the Metropolitan Police Service regional-national contract. Prices can vary subject to order volumes.
Equipment,./lancashire.csv,Standard Issue Handcuffs,16.95,100,2015-02-24,"Purchased via the Metropolitan Police Service national framework contract, inc. a long key."
Equipment,./lancashire.csv,Baton,23.49,300,2015-02-24,Batons with a holder purchased via the Metropolitan Police Service national framework contract.
Equipment,./lancashire.csv,Airwave radio (hand held),,,,Last purchased by the force in 2009. The force recycles them for re-use. No further information available at the time of publication.
Equipment,./lancashire.csv,Airwave radio (vehicle),,,,Last purchased by the force in 2009. The force recycles them for re-use. No further information available at the time of publication.
Equipment,./lancashire.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,"Not bought. The force operates estates cars, which are not converted hatchback vehicles, last purchased for £13,700 on 01/03/15."
Equipment,./lancashire.csv,Compact High performance estate vehicle - fully converted,27414.00,1,2010-02-01,The force last purchased a high performance traffic car in 2010.
Equipment,./lancashire.csv,Fully kitted cell van,17929.00,1,2015-03-01,The force does not purchase fully converted cell vans. The price quoted covers the supply of the base van and the conversion at a local convertor.
