Equipment,./lincolnshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./lincolnshire.csv,Custodian style Police Helmet,28.90,172,2015-01-01,Purchased via the West Midlands national contract.
Equipment,./lincolnshire.csv,Fleece,32.95,90,2015-06-01,
Equipment,./lincolnshire.csv,Trousers,8.95,4155,2015-06-01,"Male and female trousers purchased via the Greater Manchester Police contract. Volumes indicate the balance from the end of contract, rather than usual purchases by the force."
Equipment,./lincolnshire.csv,Shirt,9.95,500,2015-06-01,Details have been entered for the force's previous supplier. The force is moving to the West Yorkshire Police national framework for climate (wicking) shirts from August 2015.
Equipment,./lincolnshire.csv,Epaulettes,1.85,300,2015-03-01,"Black epaulettes only, exc. embroidered sliders, purchased via the Leicestershire contract."
Equipment,./lincolnshire.csv,Belt,4.43,210,2015-04-01,
Equipment,./lincolnshire.csv,Anorak/ waterproof jacket,96.95,50,2015-08-01,High visibility jackets - model 9 - purchased from Devon & Cornwall framework.
Equipment,./lincolnshire.csv,Hi Visibility jacket,16.10,105,2013-07-01,Lightweight high visibility jackets.
Equipment,./lincolnshire.csv,Cut resistant gloves,,,,Not bought.
Equipment,./lincolnshire.csv,Boots,,,,"Not bought. The force does not issue boots as standard. Boots are only issued to specialist function officers (firearms, dog handlers etc)."
Equipment,./lincolnshire.csv,Utility belt,6.42,300,2015-03-01,
Equipment,./lincolnshire.csv,General Patrol full body armour,342.33,18,2012-07-01,Last new purchase of female body armour sets with male body armour sets at £393.06 via the West Midlands contract. The force mainly re-uses armour panels and only purchases replacement covers at about £74.40 subject to order volumes.
Equipment,./lincolnshire.csv,General Patrol body armour vest,,,,Not bought. Replacement armour covers are purchased at about £74.40 subject to order volumes.
Equipment,./lincolnshire.csv,Standard Issue Handcuffs,16.95,200,2014-05-01,
Equipment,./lincolnshire.csv,Baton,55.91,100,2014-11-01,Purchased via the Metropolitan Police Service framework. Inc. laser etched numbering.
Equipment,./lincolnshire.csv,Airwave radio (hand held),290.00,1700,2013-09-26,Purchased via the Metropolitan Police Service framework. Inc. extended warranty and batteries.
Equipment,./lincolnshire.csv,Airwave radio (vehicle),686.00,450,2009-01-16,Purchased via the Metropolitan Police Service framework. Inc. handset and extended warranty.
Equipment,./lincolnshire.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,14368.15,30,2013-07-18,Not bought. The force last purchased plain Astra vehicles with price given inc. costs of conversion carried out in-house separately.
Equipment,./lincolnshire.csv,Compact High performance estate vehicle - fully converted,33211.86,4,2012-05-11,Not bought. The force last purchased plain BMW vehicles with price given inc. costs of conversion carried out separately.
Equipment,./lincolnshire.csv,Fully kitted cell van,16500.00,3,2015-03-01,"Peugeot Expert inc. cell van and blue light equipment conversion, livery and all emergency equipment."
