Equipment,./merseyside.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./merseyside.csv,Custodian style Police Helmet,28.90,40,2015-06-04,Purchased via West Midlands Police national contract.
Equipment,./merseyside.csv,Fleece,,,,Not bought. The force does not issue officers with a fleece.
Equipment,./merseyside.csv,Trousers,8.95,720,2015-05-26,Purchased via Greater Manchester Police national contract.
Equipment,./merseyside.csv,Shirt,4.75,700,2015-01-22,Male short-sleeved white shirts purchased via the West Yorkshire Police national framework agreement. The force does not issue black climate control tops.
Equipment,./merseyside.csv,Epaulettes,1.85,500,2015-05-22,Price per pair. Epaulettes are purchased locally.
Equipment,./merseyside.csv,Belt,3.27,180,2015-02-11,Purchased via North Wales Police national framework.
Equipment,./merseyside.csv,Anorak/ waterproof jacket,,,,Not bought. The force does not issue this garment to officers.
Equipment,./merseyside.csv,Hi Visibility jacket,65.78,140,2015-05-14,Last order via the North West Region contract.
Equipment,./merseyside.csv,Cut resistant gloves,12.95,330,2015-03-27,Purchased via the Cheshire Constabulary national framework.
Equipment,./merseyside.csv,Boots,,,,Not bought. The force does not issue boots to officers.
Equipment,./merseyside.csv,Utility belt,3.20,30,2015-03-27,Purchased via North Wales Police national framework.
Equipment,./merseyside.csv,General Patrol full body armour,273.66,32,2015-04-09,Black cover male armours purchased with 5 female armours at £225.93 via the Metropolitan Police Service national framework with West Midlands Police.
Equipment,./merseyside.csv,General Patrol body armour vest,,,,Not bought.
Equipment,./merseyside.csv,Standard Issue Handcuffs,16.95,25,2015-09-25,Purchased via the Metropolitan Police Service national framework.
Equipment,./merseyside.csv,Baton,24.49,100,2015-07-22,Purchased via the Metropolitan Police Service national framework.
Equipment,./merseyside.csv,Airwave radio (hand held),120.00,5000,,Last purchase of overt airwave radios in 2009. The force refurbishes and recycles devices for re-use.
Equipment,./merseyside.csv,Airwave radio (vehicle),950.00,,,Last purchase of covert airwave radios in 2006. Information on order volumes not available at the time of publication. The force refurbishes and recycles devices for re-use.
Equipment,./merseyside.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,"Not bought. The force does not use 5-door hatchbacks as general purpose patrol vehicles, but last purchased 5 Hyundai Estate vehicles at £14,383.75 on 07/05/14."
Equipment,./merseyside.csv,Compact High performance estate vehicle - fully converted,26293.24,4,2011-10-24,"The lowest price of two of the vehicles purchased based on maximum re-use of conversion parts. The other two converted vehicles cost £30,454.78 and £30,462.26."
Equipment,./merseyside.csv,Fully kitted cell van,,,,"Not bought. The force purchased a Ford Connect £24,354 inc. full conversion in 2015 and a Ford Transit £24,930 inc. full conversion in 2014. "
