Equipment,./north-yorkshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./north-yorkshire.csv,Custodian style Police Helmet,28.90,18,2015-07-14,
Equipment,./north-yorkshire.csv,Fleece,21.10,60,2015-05-29,
Equipment,./north-yorkshire.csv,Trousers,7.83,200,2015-05-14,
Equipment,./north-yorkshire.csv,Shirt,3.75,300,2015-06-11,"Lowest price for female short-sleeved shirts £3.75, female long-sleeved shirts £4.31, male short-sleeved shirts £4.05 and male long-sleeved shirts £4.60"
Equipment,./north-yorkshire.csv,Epaulettes,18.60,10,2015-07-22,Price per set of three pairs of sliders and one pair of epaulettes.
Equipment,./north-yorkshire.csv,Belt,3.27,60,2015-06-18,
Equipment,./north-yorkshire.csv,Anorak/ waterproof jacket,62.75,72,2015-02-26,Blousons.
Equipment,./north-yorkshire.csv,Hi Visibility jacket,,,,Not bought.
Equipment,./north-yorkshire.csv,Cut resistant gloves,12.95,150,2015-05-29,
Equipment,./north-yorkshire.csv,Boots,,,,Not bought.
Equipment,./north-yorkshire.csv,Utility belt,4.25,60,2015-07-15,
Equipment,./north-yorkshire.csv,General Patrol full body armour,254.10,1,2015-07-16,Same price for male and female armours.
Equipment,./north-yorkshire.csv,General Patrol body armour vest,,,,Not bought.
Equipment,./north-yorkshire.csv,Standard Issue Handcuffs,10.00,30,2015-07-14,Price for refurbished handcuffs.
Equipment,./north-yorkshire.csv,Baton,25.00,25,2015-07-14,Price for batons requiring light refurbishment. £35 for full refurbishment.
Equipment,./north-yorkshire.csv,Airwave radio (hand held),400.00,300,2015-03-11,"Purchased under existing contract unless a cheaper alternative can be sourced. Inc. all ancillaries (antenna, earpieces, batteries etc)"
Equipment,./north-yorkshire.csv,Airwave radio (vehicle),769.00,477,2010-03-01,"Purchased under existing contract unless a cheaper alternative can be sourced. Inc. all ancillaries (antenna, PTTs, looms etc)"
Equipment,./north-yorkshire.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,"Not bought. The force does not use low performance hatchbacks, but purchased Vauxhall Astra estate vehicles for £14,930.00 via national framework on 14/01/15, converted in-house by West Yorkshire Police. "
Equipment,./north-yorkshire.csv,Compact High performance estate vehicle - fully converted,32378.00,1,2015-01-22,"BMW vehicle purchased via national framework, converted in-house by West Yorkshire Police."
Equipment,./north-yorkshire.csv,Fully kitted cell van,19508.50,2,2015-01-22,"Vauxhall Vivaro van purchased via national framework, converted in-house by West Yorkshire Police."
