Equipment,./staffordshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./staffordshire.csv,Custodian style Police Helmet,28.90,80,2014-12-18,
Equipment,./staffordshire.csv,Fleece,38.95,65,2015-05-14,
Equipment,./staffordshire.csv,Trousers,8.95,560,2015-07-15,
Equipment,./staffordshire.csv,Shirt,4.25,1400,2015-03-20,
Equipment,./staffordshire.csv,Epaulettes,1.60,300,2015-07-02,
Equipment,./staffordshire.csv,Belt,3.91,160,2015-04-30,
Equipment,./staffordshire.csv,Anorak/ waterproof jacket,71.95,62,2015-05-14,
Equipment,./staffordshire.csv,Hi Visibility jacket,71.95,,,
Equipment,./staffordshire.csv,Cut resistant gloves,15.99,100,2015-04-30,
Equipment,./staffordshire.csv,Boots,,,,Not bought. The force only issues boots to officers for specialist roles.
Equipment,./staffordshire.csv,Utility belt,5.55,100,2014-12-17,
Equipment,./staffordshire.csv,General Patrol full body armour,228.00,16,2015-07-08,"Female armours, purchased with male armours at £276.00."
Equipment,./staffordshire.csv,General Patrol body armour vest,45.00,1,2015-07-08,
Equipment,./staffordshire.csv,Standard Issue Handcuffs,16.95,50,2014-12-04,
Equipment,./staffordshire.csv,Baton,82.91,,,Not bought for over five years. The force recycles departed officers' batons for re-use.
Equipment,./staffordshire.csv,Airwave radio (hand held),,,,No record of purchase for years - any previous purchased would have been made in accordance with the national airwave framework.
Equipment,./staffordshire.csv,Airwave radio (vehicle),585.00,20,2015-06-21,
Equipment,./staffordshire.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,Not bought. 
Equipment,./staffordshire.csv,Compact High performance estate vehicle - fully converted,17349.62,1,2015-02-26,"Vauxhall Astra, converted inc. commissioning parts and labour, first registration fee."
Equipment,./staffordshire.csv,Fully kitted cell van,25148.26,1,2015-07-16,"Vauxhall Vivaro, converted inc. commissioning parts and labour, first registration fee."
