Equipment,./suffolk.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./suffolk.csv,Custodian style Police Helmet,28.90,3,2015-03-20,Joint purchase with Norfolk via West Midlands Police national framework.
Equipment,./suffolk.csv,Fleece,20.39,200,2015-04-30,"Soft shell jackets, not fleece. Joint purchase with Norfolk via West Yorkshire Police national framework. The force plans to adopt a replacement framework."
Equipment,./suffolk.csv,Trousers,13.05,40,2015-05-28,Joint purchase with Norfolk via Devon & Cornwall contract. The force plans to move to the Yorkshire & Humberside police national framework.
Equipment,./suffolk.csv,Shirt,4.99,64,2014-07-29,"Joint purchase with Norfolk under a local contract, but the force is moving to the West Yorkshire Police national framework to purchase shirts at a lower price."
Equipment,./suffolk.csv,Epaulettes,3.47,200,2015-07-02,Price per pair of sliders (not epaulettes) in line with national guidance. Joint purchase with Norfolk.
Equipment,./suffolk.csv,Belt,1.25,150,2014-11-17,Trouser belts. Joint purchase with Norfolk.
Equipment,./suffolk.csv,Anorak/ waterproof jacket,72.95,225,2014-04-30,"General issue waterproof blouson to patrol officers. Joint purchase with Norfolk. The force is adopting the Metropolitan Police Service waterproof outerwear national framework to pay for the garments at a lower price. Anoraks are not issued as standard, only to neighbourhood / response officers on request (purchased for £79.95 but this price will also be lower under the new framework)."
Equipment,./suffolk.csv,Hi Visibility jacket,29.95,200,2014-07-04,Lightweight packaway jacket. Joint purchase with Norfolk.
Equipment,./suffolk.csv,Cut resistant gloves,13.25,24,2015-01-08,Joint purchase with Norfolk. The force no longer issues cut resistant gloves to neighbourhood/response officers.
Equipment,./suffolk.csv,Boots,,,,Not bought.
Equipment,./suffolk.csv,Utility belt,7.31,160,2014-09-04,Equipment belts. Joint purchase with Norfolk.
Equipment,./suffolk.csv,General Patrol full body armour,302.84,22,2015-07-21,Joint purchase with Norfolk via the Metropolitan Police Service national framework.
Equipment,./suffolk.csv,General Patrol body armour vest,,,,Not bought.
Equipment,./suffolk.csv,Standard Issue Handcuffs,18.35,100,2015-06-17,Joint purchase with Norfolk via the Metropolitan Police Service national framework.
Equipment,./suffolk.csv,Baton,54.45,150,2014-03-11,Joint purchase with Norfolk via the Metropolitan Police Service national framework.
Equipment,./suffolk.csv,Airwave radio (hand held),375.00,1,2010-09-19,
Equipment,./suffolk.csv,Airwave radio (vehicle),700.00,4,2010-09-19,
Equipment,./suffolk.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,"Not bought. The force operates intermediate performance estate vehicles for general purpose patrol at a cost of £15,505."
Equipment,./suffolk.csv,Compact High performance estate vehicle - fully converted,,,,"Not bought. The force operates high performance estate vehicles for traffic patrol at a cost of £34,600."
Equipment,./suffolk.csv,Fully kitted cell van,19905.00,5,2014-10-16,"Joint purchase with Norfolk using Kent and Essex contracts. Price inc. base vehicle, conversion, supply and fit of emergency equipment (exc. airwave radio), automatic vehicle location system and satellite navigation."
