Equipment,./thames-valley.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./thames-valley.csv,Custodian style Police Helmet,,,,Not bought. The force does not issue custodian helmets.
Equipment,./thames-valley.csv,Fleece,21.10,85,2015-07-15,Soft shell fleece.
Equipment,./thames-valley.csv,Trousers,8.95,5013,2015-05-09,Cargo trousers. One year's order volume.
Equipment,./thames-valley.csv,Shirt,4.40,2240,2015-07-22,"All climate, black wicking shirts."
Equipment,./thames-valley.csv,Epaulettes,2.22,500,2015-04-17,Small black epaulettes.
Equipment,./thames-valley.csv,Belt,3.50,241,2015-07-10,Leather belts.
Equipment,./thames-valley.csv,Anorak/ waterproof jacket,,,,"Not bought. Anoraks £71.80 are not issued to response officers, only for road policing."
Equipment,./thames-valley.csv,Hi Visibility jacket,74.95,83,2015-03-16,Waterproof blousons.
Equipment,./thames-valley.csv,Cut resistant gloves,,,,Not bought. The force issues leather gloves.
Equipment,./thames-valley.csv,Boots,,,,Not bought. The force does not issue boots to general patrol officers.
Equipment,./thames-valley.csv,Utility belt,8.20,50,2015-07-10,2'' leather belts.
Equipment,./thames-valley.csv,General Patrol full body armour,226.16,15,2015-07-23,"Male armours, female armours £179.33."
Equipment,./thames-valley.csv,General Patrol body armour vest,42.22,15,2015-07-23,"Male vests, female vests £40.09."
Equipment,./thames-valley.csv,Standard Issue Handcuffs,18.35,200,2015-07-15,
Equipment,./thames-valley.csv,Baton,53.97,100,2015-01-19,Autolock 21'' batons.
Equipment,./thames-valley.csv,Airwave radio (hand held),330.00,750,2015-02-20,
Equipment,./thames-valley.csv,Airwave radio (vehicle),370.00,500,2014-03-18,"Exc. console. Force purchase through a consortium framework with Bedfordshire, Cambridgeshire and Hertfordshire and Thames Valley Police in 2003. Prices have reduced significantly over the years. "
Equipment,./thames-valley.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,13473.00,10,2015-07-15,"General purpose response vehicle inc. warning lights, livery, siren, delivery etc."
Equipment,./thames-valley.csv,Compact High performance estate vehicle - fully converted,,,,"Not bought. The force operates standard large high performance estate vehicles for road policing, £26,540.00 on 22/07/15 inc. warning lights, livery, siren, delivery etc."
Equipment,./thames-valley.csv,Fully kitted cell van,20805.00,5,2014-11-12,"Inc. warning lights, livery, siren, delivery etc."
