Equipment,./west-midlands.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./west-midlands.csv,Custodian style Police Helmet,28.90,40,2015-06-29,
Equipment,./west-midlands.csv,Fleece,37.95,45,2015-07-22,
Equipment,./west-midlands.csv,Trousers,16.00,40,2015-05-14,
Equipment,./west-midlands.csv,Shirt,3.76,190,2015-05-28,Black wicking shirts
Equipment,./west-midlands.csv,Epaulettes,1.85,1000,2015-01-15,
Equipment,./west-midlands.csv,Belt,16.48,2,2015-07-22,
Equipment,./west-midlands.csv,Anorak/ waterproof jacket,69.95,30,2015-07-22,High visibility blouson jackets.
Equipment,./west-midlands.csv,Hi Visibility jacket,,,,Not bought because the force issues high visibility blouson jackets.
Equipment,./west-midlands.csv,Cut resistant gloves,15.35,248,2015-02-24,
Equipment,./west-midlands.csv,Boots,,,,Not bought. The force does not issue boots to patrol officers.
Equipment,./west-midlands.csv,Utility belt,,,,"Not bought. The force purchases body armour carrying equipment, which negates a need to procure a separate utility belt."
Equipment,./west-midlands.csv,General Patrol full body armour,288.16,38,2015-06-03,"Male armours inc. panels, high visibility cover and pouches. Female armours £239.68."
Equipment,./west-midlands.csv,General Patrol body armour vest,,,,Not bought.
Equipment,./west-midlands.csv,Standard Issue Handcuffs,16.95,200,2015-03-05,
Equipment,./west-midlands.csv,Baton,55.91,15,2015-06-18,
Equipment,./west-midlands.csv,Airwave radio (hand held),320.00,,,Not bought since 2012. The force has no plans to purchase this equipment until the national airwave replacement framework comes to fruition.
Equipment,./west-midlands.csv,Airwave radio (vehicle),,,,Not bought since 2012. The force has no plans to purchase this equipment until the national airwave replacement framework comes to fruition.
Equipment,./west-midlands.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,13290.00,,2009-12-23,All-inc. unit price.
Equipment,./west-midlands.csv,Compact High performance estate vehicle - fully converted,26841.00,,2013-04-11,All-inc. unit price.
Equipment,./west-midlands.csv,Fully kitted cell van,19302.00,,2014-12-02,All-inc. unit price.
