Equipment,./west-yorkshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./west-yorkshire.csv,Custodian style Police Helmet,37.80,127,2015-01-30,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Fleece,20.39,214,2015-01-30,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Trousers,7.83,4932,2013-08-09,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Shirt,4.05,450,2015-05-29,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Epaulettes,2.80,90,2015-07-10,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Belt,3.80,230,2015-07-10,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Anorak/ waterproof jacket,85.75,22,2015-01-30,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Hi Visibility jacket,62.75,88,2015-01-30,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Cut resistant gloves,12.95,155,2015-07-10,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Boots,,,,Not bought.
Equipment,./west-yorkshire.csv,Utility belt,4.50,160,2015-07-10,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,General Patrol full body armour,254.10,18,2015-04-22,Same price for male and female armours. Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,General Patrol body armour vest,60.20,845,2015-07-10,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Standard Issue Handcuffs,16.95,100,2015-06-26,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Baton,23.49,200,2015-03-05,Most recent order date for bulk purchase jointly with Humberside and South Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./west-yorkshire.csv,Airwave radio (hand held),460.00,17,2015-02-12,"Inc. encryption. Exc. antenna, battery, colour display."
Equipment,./west-yorkshire.csv,Airwave radio (vehicle),600.00,10,2013-11-15,Inc. 7-year warranty.
Equipment,./west-yorkshire.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,13238.90,15,2015-04-09,Vauxhall Astra beat vehicle. The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015.
Equipment,./west-yorkshire.csv,Compact High performance estate vehicle - fully converted,,,,"Not bought. BMW vehicle purchase price was £24,207.00 on 11/10/13. The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015."
Equipment,./west-yorkshire.csv,Fully kitted cell van,19090.00,15,2014-08-11,Vauxhall Vivaro. The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015.
