Services,./avon-and-somerset.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Services,./avon-and-somerset.csv,DNA test,17.00,1400.0,2016-02-15,Full specification used for comparison is: 24BFA1 under Lot 201 (Police and Criminal Evidence Act).
Services,./avon-and-somerset.csv,Toxicology test,28.15,5.0,2016-02-15,Full specification used for comparison of item code 20TOXS1A1 under Lot 211 (Toxicology). Purchases are made from two suppliers as per West Coast consortium agreement.
Services,./avon-and-somerset.csv,Mobile phone examination,110.00,74.0,2016-03-01,"The force has recently completed a regional tender for this service, reducing cost."
Services,./avon-and-somerset.csv,Forensic stain analysis,85.54,30.0,2016-02-15,"Full specification used for comparison of item code 22BFS1B1 under Lot 202 (Crime Scene Stain), which is purchased from two suppliers as directed by West Coast forensics collaboration. Price agreed with the other supplier is £110.00."
Services,./avon-and-somerset.csv,Credit report or search,6.27,5000.0,2016-01-31,"The force pays an annual charge for an allowance of 5,000 credit searches, paid monthly. The January total purchase amounted to £3,377.92, including £2,873.75 for personal credit checks only. The contract includes a carryover clause in the event of use below contracted volumes. Purchases are not itemised."
Services,./avon-and-somerset.csv,Temporary staff administrator role,11.80,8560.0,2016-02-01,"Information provided for administrative assistant and annual volume, equating to an average 713 hours per month, so around 3.5 FTE each month. The force operates a Managed Service under a Neutral Vendor model engaged through a collaborative Framework. There is no single agency fee percentage. Job roles have been graded and attract a specific monetary value as a mark up plus a booking fee."
Services,./avon-and-somerset.csv,one-day car hire,18.00,1.0,2016-01-23,"Information provided for manual Ford Focus M3 group. Price is for vehicle hire only, excludes delivery, insurance etc."
Services,./avon-and-somerset.csv,30-day car hire,13.00,120.0,2015-10-08,"Information provided for Manual Ford Focus M3 group hire. Price is for vehicle hire only, excludes delivery, insurance etc, and for the first 28 days, then £11.50 per day onwards."
Services,./avon-and-somerset.csv,Ream of 500 sheets of white paper,1.70,50.0,2016-02-17,Steinbeis Classic A4 80G (recycled): 'brown' paper with substantial sustainability benefits.
Services,./avon-and-somerset.csv,Telephone interpreting inc. recording services (per minute),0.68,6.0,2016-02-16,"Information provided on the basis of the last monthly invoice which was for a total of 3,682 minutes in January 2016. A yearly limit order is raised to cover costs which are calculated on a monthly basis and the annual amount is called off from the yearly purchase order."
Services,./avon-and-somerset.csv,Face-to-face interpreting for 4 hours (half-day),120.00,2.0,2016-02-17,"There is a minimum fee of £60 which nominally covers 2 hours excluding expenses. Any expenses incurred will be offset if service time is less than 2 hours, Mon-Fri 06:00-22:00. The force with the rest of the South West region has approached various providers listed in the national register of public service interpreters in this region. The National Register of Public Service Interpreters is the UK's independent voluntary regulator of professional interpreters specialising in public service. We have worked to reduce the fees charged by interpreters and develop a standard operating procedure which all forces now adopt."
Services,./avon-and-somerset.csv,Standard office cleaning (force average per m2 per year),17.69,23108.0,,"The price quoted is an average across the force headquarters site and is part of a bundle of services, provided as an annual contracted rate for a net surface of 18,003m2. The contract operates on fixed costs and includes operating costs; management fee; provision of all consumables e.g. paper towel, toilet paper, cleaning fluids etc. There is also catering provided on site (non-subsidised) and a management fee, adding to the difficulty of extracting cleaning costs from the service bundle. The force has differential rates based on a variety of factors for different areas and levels of cleaning required."
Services,./avon-and-somerset.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0184,10672747.0,2016-03-31,Information on volumes based on annual consumption. Service procured through the Crown Commercial Service Framework. Rate is for the cost of gas only and excludes daily charges and non energy variable costs. Gas is bought on a flexible basis during the supply period and hence the final cost of the gas is only known at the end of the supply period. Price given is an average for the April-September 2015 period only.
Services,./avon-and-somerset.csv,Laptop purchase,600.00,2.0,2015-12-11,Standard specifications laptop procured.
Services,./avon-and-somerset.csv,Desktop purchase,450.00,10.0,2015-11-02,Low specifications desktops purchased. The force rarely buys medium specifications and never high specifications desktops.
Services,./avon-and-somerset.csv,"PC monitor - 19"" or smaller (inc. cables)",85.38,1.0,2015-09-17,Price given includes DVI adaptor & cable which are purchased separately.
Services,./avon-and-somerset.csv,"PC monitor - 21"" or wider (inc. cables)",92.10,1.0,2015-12-10,Price includes £7.10 for DVI adaptor & cables which are purchased separately.
Services,./avon-and-somerset.csv,Telephone call charges (per minute),0.01,,,
