Services,./city-of-london.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Services,./city-of-london.csv,DNA test,,,,The force is not on the same framework as many other forces and does not use anything similar to the item available under their framework as it does not suit the local crime type.
Services,./city-of-london.csv,Toxicology test,45.00,,,"The force is not on the same framework as other forces and does not use the item code 20TOXA1. The service used by the force supplies test and a full evidential package, although no discounts are given for higher volumes."
Services,./city-of-london.csv,Mobile phone examination,,,,This service is provided in-house. The force undertakes does not contract out as the service is undertaken by frontline officers using triage equipment generally in the first custody detention period. The rough cost of a triage equipment device is between £15 and £20.
Services,./city-of-london.csv,Forensic stain analysis,125.00,,,"The force does not use the described item code 22BF/B1/1 for comparison. All analyses are completed and procured on a case by case basis, depending upon the requirements. Suppliers previously used for the described item code both quoted different prices."
Services,./city-of-london.csv,Credit report or search,4.25,1.0,2016-01-31,"The new framework service that the force entered into does not work on individual prices for a specific type of transactions. Service costs for the whole year are based upon the number of search transactions that the force would have carried out in the previous year under the framework. This amounts to a forecasted figure of 16,428 enquiry transactions which are priced at £4.25 per enquiry. The force is allowed up to 10% more than the forecasted number of transactions free of charge but beyond the 10% level the cost is again £4.25 per transaction. Each Operational Unit that uses credit checks sets up a separate rolling Purchase Order based on previous usage and then renews once this has run out."
Services,./city-of-london.csv,Temporary staff administrator role,14.64,40.0,2016-02-26,Hourly rate provided for minimum temp admin pay rate. Maximum hourly rate: £17.44.
Services,./city-of-london.csv,one-day car hire,24.79,1.0,2015-11-03,Rate includes £2.50 collection / delivery charge each way.
Services,./city-of-london.csv,30-day car hire,12.55,57.0,2015-03-27,Period of hire was 30/01/15 - 27/03/15.
Services,./city-of-london.csv,Ream of 500 sheets of white paper,2.31,75.0,2016-02-15,Volume provided equals 15 boxes of 5 reams.
Services,./city-of-london.csv,Telephone interpreting inc. recording services (per minute),0.78,1.0,2016-01-31,Information on volumes not provided.
Services,./city-of-london.csv,Face-to-face interpreting for 4 hours (half-day),137.04,4.0,2016-10-26,Unit price provided for 4 hours as requested; £213.78 if including VAT and travel time costs.
Services,./city-of-london.csv,Standard office cleaning (force average per m2 per year),13.50,22646.0,2015-12-01,"Average cost per m2 per year was calculated on the basis of various rates applied across the force's estate. Total surface charged is approximately 22,646m2. This service is provided through a contract of the City of London Corporation."
Services,./city-of-london.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",,,,"Details not available as contract is with the Corporation of London, with Kent County Council."
Services,./city-of-london.csv,Laptop purchase,442.00,2.0,2015-09-09,
Services,./city-of-london.csv,Desktop purchase,290.00,5.0,2016-01-07,
Services,./city-of-london.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,None purchased by the force in the most recent hardware refresh.
Services,./city-of-london.csv,"PC monitor - 21"" or wider (inc. cables)",83.00,23.0,2015-05-28,
Services,./city-of-london.csv,Telephone call charges (per minute),0.0089,273584.0,2015-12-31,
