Services,./lancashire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Services,./lancashire.csv,DNA test,17.00,10.0,2016-02-07,Current specification included PED/CED samples.
Services,./lancashire.csv,Toxicology test,35.00,120.0,2016-02-05,Information provided for alcohol toxicology test only and does not include drug driving or alcohol technical defence.
Services,./lancashire.csv,Mobile phone examination,,,,Service provided in-house by Digital Media Investigation Unit.
Services,./lancashire.csv,Forensic stain analysis,85.54,6.0,2016-01-31,"The pricing point for the described item code does not include the swab preparation which is needed for all items, so in actual terms the cost is higher for the profile to be processed."
Services,./lancashire.csv,Credit report or search,1.10,1136.0,2016-02-15,"Information provided for personal vetting reports, annual volume. Annual charge calculated on the basis of the estimated number of enquiries multiplied by the framework transactional equivalent rate achieved by the combined contract participants. Crime management reports cost £4.25 per search based (volume: 17,199 per annum). The force is charged for this service on the basis of combined usage between all forces using the framework, paid upfront on an annual basis and then called off throughout the year."
Services,./lancashire.csv,Temporary staff administrator role,11.40,37.0,2016-02-19,"Hourly rate includes agency fee and other charges inc. WTD, Pension, NI."
Services,./lancashire.csv,one-day car hire,18.60,1.0,2016-02-19,Information provided for 1-day Ford focus group C hire.
Services,./lancashire.csv,30-day car hire,13.59,82.0,2016-02-09,Information provided for 30-day Ford focus group C vehicle hire.
Services,./lancashire.csv,Ream of 500 sheets of white paper,2.51,60.0,2016-02-19,"A4 80gsm. 100% recycled, high white, multi-purpose uncoated paper for high volume copying and printing."
Services,./lancashire.csv,Telephone interpreting inc. recording services (per minute),0.66,2536.0,2015-12-31,Actual rate is £0.011 per second for all languages - Invoices issued on a monthly basis with information on volumes provided for above one month's total.
Services,./lancashire.csv,Face-to-face interpreting for 4 hours (half-day),104.00,615.0,2015-12-31,Face-to-face interpreting service has 3 tiers dependent upon qualifications and skills required. Charging structure is 1 hour minimum and then by 1 minute pro-rata increments. Rate includes all travelling times and expenses.
Services,./lancashire.csv,Standard office cleaning (force average per m2 per year),,,2016-01-29,"The force pays an hourly rate instead of m2based service, so the pricing model and hour rate is determined from the number of buildings, type of cleaning required and frequency of cleaning in specific areas. The force's last bill was based on £11.91 per hour which includes wages, management fees and materials. The supplier pays staff the living wage."
Services,./lancashire.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0174,5880.0,2016-02-16,Information provided based on a fixed price for 12 months.
Services,./lancashire.csv,Laptop purchase,513.00,25.0,2015-10-15,Standard specifications laptops purchase. Force's higher specifications Intel Core I5 and standard specifications core I3. No DVD drive as standard.
Services,./lancashire.csv,Desktop purchase,426.70,800.0,2015-07-22,Force's lower specifications: Intel Core I3 without DVD. Cost given includes 3-year warranty.
Services,./lancashire.csv,"PC monitor - 19"" or smaller (inc. cables)",67.83,100.0,2016-02-12,"Hanns. Information provided for the force purchases of monitors size 19.5""."
Services,./lancashire.csv,"PC monitor - 21"" or wider (inc. cables)",78.49,2.0,2016-09-03,"Hanns. The force does not purchase monitors of this size. Information provided for purchases of monitors size 21.5""."
Services,./lancashire.csv,Telephone call charges (per minute),0.0075,,,Information on volumes not provided. Call charge per minute is for local calls made during the business day. The price given is based on best price and there is no minimum charge per call. Call charges can be linked to the overall rental package and the given price if used in isolation should be benchmarked with caution.
