Services,./lincolnshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Services,./lincolnshire.csv,DNA test,19.40,143.0,2016-02-15,Item reference detailed as 07BF A1 - Band A. The current contract expires on 02 August 2016.
Services,./lincolnshire.csv,Toxicology test,27.65,345.0,2016-02-26,Item code 01TOX A1 - alcohol - band A. Current contract expires on 02 August 2016. 
Services,./lincolnshire.csv,Mobile phone examination,,,,This service is provided in-house and therefore not outsourced.
Services,./lincolnshire.csv,Forensic stain analysis,118.50,1.0,2016-02-26,"There is no direct match for the described item used by this force under the National Forensics Framework. Information provided for the closest equivalent item code 10BFA1 used by the force, which is for DNA profiling only, after an examination has taken place (however, this does not appear as an option for crime stains) although 22BF applies to both intelligence and casework stains so is also part of code 01BF purchased from the supplier for £118.50, and code 02BF for £165.00."
Services,./lincolnshire.csv,Credit report or search,1.10,1907.0,2016-02-26,"Annual contracted volume of staff vetting reports based on 60,000 - 80,000 transactions. The force has monthly updates on usage and endeavours to stay within the contracted allowance per year: 1,907 vetting and 10,033 Crime management and Supplier Evaluation reports. Last purchase order quantity and date unknown as this is used on an on-going basis. The current contract expires on 31 October 2016."
Services,./lincolnshire.csv,Temporary staff administrator role,12.52,95.5,2016-01-29,Information provided for administrator grade F (grade E £11.27). The current contract expires on 30 September 2016.
Services,./lincolnshire.csv,one-day car hire,18.00,1.0,2015-11-25,Information provided for hire of a Vauxhall Astra SRI CDTI S/S. Service used on an ongoing basis.
Services,./lincolnshire.csv,30-day car hire,12.50,28.0,2015-12-29,Information provided for Volkswagen Golf Match hire. Service used on an ongoing basis.
Services,./lincolnshire.csv,Ream of 500 sheets of white paper,1.93,10.0,2016-02-16,Minimum order quantity is 1 box of 5 reams at £9.65 per box. Budget white A4 80gsm copier paper.
Services,./lincolnshire.csv,Telephone interpreting inc. recording services (per minute),0.70,23.0,2016-02-01,Billing calculated per minute. Service ordered on an ongoing basis.
Services,./lincolnshire.csv,Face-to-face interpreting for 4 hours (half-day),173.00,4.0,2016-01-29,"Rate fixed at £43.25 per hour. Billing is per hour. Service ordered on an ongoing, daily basis. The force pays for the service in one-hour minimum increments so if the job was between 3-4 hours it would be charged the full 4 hours."
Services,./lincolnshire.csv,Standard office cleaning (force average per m2 per year),11.10,29392.0,2014-12-01,"Cleaning services undertaken across 47 sites across the county on an ongoing basis. Total surface area excluding custody suites is approximately 29,392m2."
Services,./lincolnshire.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0189,1949010.0,2015-04-01,"Different rates charged across 22 properties - the highest is 1.9329p, the lowest 1.8581p per kWh. Current contract expires 31 March 2016 but is being renewed. Service used on an as required, ongoing basis."
Services,./lincolnshire.csv,Laptop purchase,470.74,1.0,2016-02-26,"Standard specifications I5, 4GB RAM, 500 GB HDD, Wifi, Standard Screen, no WWAN."
Services,./lincolnshire.csv,Desktop purchase,377.94,1.0,2016-02-26,"Low specifications i3, 4GB RAM, 500GB HDD"
Services,./lincolnshire.csv,"PC monitor - 19"" or smaller (inc. cables)",119.37,10.0,2016-02-22,
Services,./lincolnshire.csv,"PC monitor - 21"" or wider (inc. cables)",139.47,8.0,2015-11-11,"The force does not purchase monitors of this size. Information provided for purchases of monitors size 24""."
Services,./lincolnshire.csv,Telephone call charges (per minute),0.0085,2151.0,2016-02-26,Service used on an ongoing basis. 
