Services,./north-wales.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Services,./north-wales.csv,DNA test,17.00,297.0,2016-01-28,
Services,./north-wales.csv,Toxicology test,19.75,4.0,2015-12-15,Information provided for K110 Toxicology Kit.
Services,./north-wales.csv,Mobile phone examination,"1,500.00",1.0,2016-02-12,"Information provided for full examination of Apple iPhone 5 - ios 8.3 PIN Decryption only - The service was on an I phone 5 ios with encrypted data that included unlocking, decryption and investigation but the service was not under contract at the time and would have included a complicated search of several megabytes of encrypted data. The force has recently completed a regional tender for this service."
Services,./north-wales.csv,Forensic stain analysis,80.00,5.0,2016-01-31,
Services,./north-wales.csv,Credit report or search,1.25,5155.0,2014-12-23,Information provided for staff vetting reports. Criminal investigation credit reports cost £4.25 each.
Services,./north-wales.csv,Temporary staff administrator role,14.14,148.5,2016-02-02,"Costs based on Admin Assistant - scale 4 Administrative Post, HR Assistant, as an example including all statutory costs as well as rate paid."
Services,./north-wales.csv,one-day car hire,18.50,1.0,2016-02-11,Information provided for Ford Focus hire.
Services,./north-wales.csv,30-day car hire,11.00,31.0,2016-01-31,Information provided for Ford Focus Zetec vehicle hire.
Services,./north-wales.csv,Ream of 500 sheets of white paper,1.58,200.0,2016-01-14,
Services,./north-wales.csv,Telephone interpreting inc. recording services (per minute),0.66,1188.0,2016-01-28,Actual rate is £0.011 per second.
Services,./north-wales.csv,Face-to-face interpreting for 4 hours (half-day),124.00,118.75,2016-01-28,
Services,./north-wales.csv,Standard office cleaning (force average per m2 per year),11.87,56871.0,2015-07-31,Provision of cleaning service in-house is subject to a review. Information taken from the Estate Benchmarking Report for 2014/15.
Services,./north-wales.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0192,1815.0,2016-01-11,
Services,./north-wales.csv,Laptop purchase,563.10,4.0,2015-12-10,Low specifications Dell LAT E5550/5550 i5 4GB 500GB
Services,./north-wales.csv,Desktop purchase,351.13,7.0,2015-12-10,Low specifications Dell OPLEX 3020 MT i3 4GB 500GB
Services,./north-wales.csv,"PC monitor - 19"" or smaller (inc. cables)",90.26,7.0,2015-12-10,"Dell PROF P2014H LED monitor, black. Information provided for the force purchases of monitors size 19.5""."
Services,./north-wales.csv,"PC monitor - 21"" or wider (inc. cables)",193.57,10.0,2015-12-10,"Dell U/SHARP U24 12M VGA Mon. The force does not purchase monitors of this size. Information provided for purchases of monitors size 24""."
Services,./north-wales.csv,Telephone call charges (per minute),0.0085,,2016-01-14,Information on volumes not provided.
