Services,./south-yorkshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Services,./south-yorkshire.csv,DNA test,17.00,372.0,2016-02-18,"Prices relate to roughly comparable products (there may be slight differences in the product specification when compared to the National framework). Scientific Support Unit (West Yorkshire Police lead) manage this contract on behalf of the Region. The force does not deal directly with the supplier, but subsequently pay West Yorkshire Police for their contributions."
Services,./south-yorkshire.csv,Toxicology test,29.90,9.0,2016-02-01,"Prices relate to roughly comparable products (there may be slight differences in the product specification when compared to the National framework). Scientific Support Unit (West Yorkshire Police lead) manage this contract on behalf of the Region. The force does not deal directly with the supplier, but subsequently pay West Yorkshire Police for their contributions."
Services,./south-yorkshire.csv,Mobile phone examination,145.00,2.0,2016-01-29,Information provided for level 2 examination.
Services,./south-yorkshire.csv,Forensic stain analysis,50.00,1.0,2016-01-11,"Prices relate to roughly comparable products (there may be slight differences in the product specification when compared to the National framework). Scientific Support Unit (West Yorkshire Police lead) manage this contract on behalf of the Region. The force does not deal directly with the supplier, but subsequently pay West Yorkshire Police for their contributions. The force's most recent purchase of 25 level A1 tests cost £169.90 each."
Services,./south-yorkshire.csv,Credit report or search,1.10,567.0,2015-11-13,Information provided for personal vetting reports.
Services,./south-yorkshire.csv,Temporary staff administrator role,11.74,37.0,2016-02-01,"Due to differing pay structures within the Yorkshire and Humber Region, information provided is based on a 'blended' average rate for the four Yorkshire and Humber Forces."
Services,./south-yorkshire.csv,one-day car hire,19.79,1.0,2016-01-22,Information provided for Group D Vehicle (Ford Focus or similar) hire. Rate excludes £2.50 collection / delivery charge each way.
Services,./south-yorkshire.csv,30-day car hire,11.40,28.0,2015-12-22,Information provided for Group D vehicle 28-day hire (no bills for 30 days - 28 days' rental is maximum billed in period).
Services,./south-yorkshire.csv,Ream of 500 sheets of white paper,2.03,100.0,2016-02-01,
Services,./south-yorkshire.csv,Telephone interpreting inc. recording services (per minute),0.66,21.0,2016-01-01,"Information on volumes estimated on the basis of a total time of 1,234 seconds used at £0.011 per second."
Services,./south-yorkshire.csv,Face-to-face interpreting for 4 hours (half-day),124.00,2.5,2016-01-01,Pricing information based on tier 1 interpreter service at £31.00 per hour. One-hour minimum charge is followed by a rate per minute calculated pro-rata. No travel or expenses are charged for.
Services,./south-yorkshire.csv,Standard office cleaning (force average per m2 per year),,,,Service provided in-house.
Services,./south-yorkshire.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0292,,2015-04-01,"Because of the many variables involved in calculating the rate, the 2015/16 annual figures have been used."
Services,./south-yorkshire.csv,Laptop purchase,680.84,250.0,2015-11-01,"Force specifications: Yoga Business 12.5"" YOGA12CTO. Joint purchase between Humberside and South Yorkshire Police - total order quantity 500 x Lenovo Yoga 12."
Services,./south-yorkshire.csv,Desktop purchase,285.62,230.0,2015-11-01,"Joint purchase between Humberside and South Yorkshire Police - total order quantity 460 desktops, HP 705 G1"
Services,./south-yorkshire.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,No purchase for the last 12 months.
Services,./south-yorkshire.csv,"PC monitor - 21"" or wider (inc. cables)",76.50,180.0,2015-12-01,Joint purchase between Humberside and South Yorkshire Police. Total order quantity 360.
Services,./south-yorkshire.csv,Telephone call charges (per minute),0.0046,6442.0,2016-01-01,Estimated volume based on the last total time charged: 107 hours 21 minutes and 25 seconds.
