Services,./warwickshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Services,./warwickshire.csv,DNA test,19.16,103.0,2016-02-18,The Region is using the National Forensics Framework which has different specifications and price points for the item. This item is Police and Criminal Evidence Act DNA test 07BF (price point A1) which is the most appropriate comparator. Pricing is dictated by tender volumes not by order. The Regional tender was awarded according to Home Office requirements on percentage split across region with different forces taking different suppliers and therefore different prices. A new national forensic contract starts on 01 March 2016 for the whole region.
Services,./warwickshire.csv,Toxicology test,26.92,4.0,2016-02-26,Information provided for toxicology test code 01 TOX A1 under the National Forensics Framework. The force is re-tendering under the framework.
Services,./warwickshire.csv,Mobile phone examination,225.00,16.0,,Price quoted is for Mobile Phone Full analysis + SIM Card. Pricing varies according to individual submission composition. The joint Warwickshire-West Mercia framework has been awarded to two suppliers because of demand and turn-around time requirements and so pricing also varies between suppliers.
Services,./warwickshire.csv,Forensic stain analysis,106.70,13.0,2016-02-26,The Region is using the National Forensics Framework which has different specifications and price points. Information provided for described item code 01BF which includes both codes 20BF and 22BF under the National Forensics Framework specifications. Pricing is dictated by regional volumes not by individual force orders. The regional tender was awarded to Home Office requirements on percentage split across the region with different forces taking different suppliers and therefore different prices. New contract starting in March 2016.
Services,./warwickshire.csv,Credit report or search,1.00,27.0,2016-01-31,"Price quoted is for trace Name and Date of Birth report. Costs vary with types of reports used, ranging from £0.50 to £10.00."
Services,./warwickshire.csv,Temporary staff administrator role,12.59,36.5,2016-01-15,Hourly cost reflects relationship to force salary scales as well as supplier's margin.
Services,./warwickshire.csv,one-day car hire,19.00,2.0,2016-02-10,"Information provided for Fiesta/Astra sized vehicle (M2 hire code) which is Alliance basic standard vehicle. Orders are raised on a monthly basis to alliance provider on estimated order value. Pricing determined at tender, not by order."
Services,./warwickshire.csv,30-day car hire,11.75,392.0,2016-02-10,Information provided includes rate quoted for 5-door manual Fiesta/Astra sized vehicle which is Alliance basic standard vehicle. 14 cars hired for 28 days (standard billing period).
Services,./warwickshire.csv,Ream of 500 sheets of white paper,2.30,50.0,2016-02-29,£11.50 is the unit price per box of 5 reams of paper. The force orders for local delivery direct from the stationery supplier.
Services,./warwickshire.csv,Telephone interpreting inc. recording services (per minute),0.80,1819.0,2016-01-31,"Consolidated orders raised for estimated purchases over elapsed time, not for individual purchases. Rate not order dependent. The force is awaiting the outcome of current framework exercises to inform future strategy."
Services,./warwickshire.csv,Face-to-face interpreting for 4 hours (half-day),135.32,2.0,2016-02-02,Information on volumes based on the latest purchase. Only an hourly rate is charged. The force alliance uses National local translators from the Register of Public Service Interpreters. Payments are made against individual claims. The representative weekday rate quoted is £33.83 per hour - entry is therefore 2hrs for £67.66. The force is awaiting the outcome of new procurement framework to inform its future strategy.
Services,./warwickshire.csv,Standard office cleaning (force average per m2 per year),8.60,41313.0,,"Cleaning cost per m2 is dependent on building design, floor surface, percentages and total cleaned area. Facilities Management services for the force are managed and provided through Place Partnership Ltd, a local authority joint venture company who are the contracting body. They have provided comparator information from the National Police Estates Group benchmarking survey which quotes Qualifying Cost (GIA) per m2."
Services,./warwickshire.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.019,213764.0,2016-01-11,"Facilities Management services for the force are managed and provided through Place Partnership Ltd, a local authority joint venture company who are the contracting body. They use Crown Commercial Service frameworks for the provision of energy services to the force."
Services,./warwickshire.csv,Laptop purchase,733.00,11.0,2015-12-21,"Force alliance standard specifications laptop except RAM and warranty - 4GB RAM, 3 yr warranty. Joint ICT department purchase for both West Mercia and Warwickshire Police. The most recent purchases have been made under West Mercia orders."
Services,./warwickshire.csv,Desktop purchase,,,,Desktops not purchased for Warwickshire recently. Joint ICT department purchase for West Mercia and Warwickshire – most recent purchases have been under West Mercia orders.
Services,./warwickshire.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,The force does not purchase monitors of this size.
Services,./warwickshire.csv,"PC monitor - 21"" or wider (inc. cables)",,,,No recent purchases for Warwickshire. Joint ICT department purchase for West Mercia and Warwickshire – most recent purchases have been under West Mercia orders.
Services,./warwickshire.csv,Telephone call charges (per minute),,,,Warwickshire Police uses Internet Protocol based telephony and its agreement will shortly be replaced under a joint contract with West Mercia Police on a single network.
