Services,./west-midlands.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Services,./west-midlands.csv,DNA test,18.45,1076.0,2015-12-01,"The force is using the old Framework to purchase this item code 24BF A1 which is equivalent to 07BFA1. As such, from 01 March 2016 this will convert to 24BF. The items in question are covered under a formal contract (which is between regional forces). Therefore the item price remains the same regardless of whether one unit is ordered or multiple, as unit prices were derived based on indicative annual volumes at the time of tender rather than on an order by order basis."
Services,./west-midlands.csv,Toxicology test,26.92,17.0,2015-12-01,"Standard alcohol test. The force is using the old Framework code 20TOXA1 which is equivalent to 01TOXA1. The items in question are covered under a formal contract (which is regional between forces). Therefore, the item price remains the same regardless of whether one unit is ordered or multiple, as unit prices were derived based on indicative annual volumes at the time of tender rather than on an order by order basis."
Services,./west-midlands.csv,Mobile phone examination,,,,Service provided in-house.
Services,./west-midlands.csv,Forensic stain analysis,110.00,1.0,2016-02-01,"The force is using the old framework code for this item. There is no equivalent pricing point under the old framework for Crime Stains as the described item code 01BF has been split into codes 20BF and 22BF. However, from 01 March 2016 this price will convert to joint codes 20BF-B1 plus 22BF-B1 for a total £85.56. The items in question are covered under a formal contract which is regional between forces. Therefore, the item price remains the same regardless of whether single or multiple items are purchased, as unit prices are based on indicative annual volumes at the time of tender rather than on an order by order basis."
Services,./west-midlands.csv,Credit report or search,1.35,1300.0,2015-11-01,"Information provided based on staff vetting reports for a unit price in accordance with the annual volume of transactions which the force falls into. As such, the force falls into the lowest price bracket (1,300 searches), meaning that the cost per check to the force is £1.35."
Services,./west-midlands.csv,Temporary staff administrator role,10.95,511.0,2015-09-29,Position reported in return is most aligned to description of staff-administrator role. Force wide temporary staff requirements.
Services,./west-midlands.csv,one-day car hire,13.63,20.0,2015-12-01,"The force has a formal contract whereby there is a fixed daily rate of £13.63. Given that the average hire time for the force is 20 days, this pricing methodology best meets the force's needs."
Services,./west-midlands.csv,30-day car hire,13.63,30.0,2015-12-01,"The force has a formal contract whereby there is a fixed daily rate of £13.63. Given that the average hire time for the force is 20 days, this pricing methodology best meets the force's needs."
Services,./west-midlands.csv,Ream of 500 sheets of white paper,1.93,100.0,2016-02-01,"Specification purchased: budget white A4 80GSM copier paper, box of 5 reams (5X500 sheets of paper). The force intends to move across to the new national police agreement for stationery when it is established later this year."
Services,./west-midlands.csv,Telephone interpreting inc. recording services (per minute),0.66,300.0,2016-02-01,"As per the national framework agreement, the service charge is £0.011 pence per second for all languages. Information on volumes provided on the basis of 5 hours last purchased."
Services,./west-midlands.csv,Face-to-face interpreting for 4 hours (half-day),124.00,4.0,2016-02-01,Pricing information based on the national police agreement (£31.00 per hour).
Services,./west-midlands.csv,Standard office cleaning (force average per m2 per year),,,,Service provided in-house.
Services,./west-midlands.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0193,127409.0,2016-01-01,"Volume shown for last recorded monthly usage across force. For clarity, the cost per kWh to the force is 1.93p. The items in question are covered under a formal contract (which is regional between forces). Therefore, the item price remains the same regardless of whether one unit is ordered or multiple, as unit prices were derived based on indicative annual volumes at the time of tender rather than on an order by order basis."
Services,./west-midlands.csv,Laptop purchase,616.99,1100.0,2016-02-15,Lower specifications than standard specifications described for comparison.
Services,./west-midlands.csv,Desktop purchase,277.00,80.0,2016-02-01,Lower specifications than standard specifications described for comparison.
Services,./west-midlands.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,Not purchased.
Services,./west-midlands.csv,"PC monitor - 21"" or wider (inc. cables)",89.89,35.0,2016-02-12,Force specifications: IIYAMA B2280WSD-B1/22WIDE LCD
Services,./west-midlands.csv,Telephone call charges (per minute),0.005,,2016-02-01,"The force's contracted tariff for both local and national calls is .5 pence per minute. The force receives a consolidated bill (including line rental, provision of non-emergency number charges and external calls) on a quarterly basis from the supplier. Therefore, the charge remains the same regardless of the number of units purchased."
